Generation;Best;Average;ElapsedSeconds
0;23,493412;26,284368442222313;0,00
1;23,468918;25,996934771111263;3,22
2;23,42752;25,843551699555697;7,49
3;23,155;25,72715822044449;10,60
4;23,155;25,65743910733342;13,60
5;23,155;25,588474930222308;17,52
6;23,155;25,574133171555687;20,58
7;23,155;25,51871515622224;23,65
8;23,155;25,441793882889034;27,62
9;23,155;25,381108282;30,76
10;23,155;25,34063576022233;33,86
11;23,155;25,285284189111184;37,85
12;23,155;25,22058893155565;41,01
13;23,155;25,16207699800008;44,28
14;23,155;25,11011980200003;48,09
15;23,155;25,08086535844456;51,21
16;22,543658;25,01867075355567;54,48
17;22,510066;24,984998649111255;58,44
18;22,510066;24,969616589555628;61,56
19;22,510066;24,924960246666725;65,28
20;22,470428;24,858802332666702;69,23
21;22,470428;24,83695474933345;72,71
22;22,470428;24,786514204888928;76,72
23;22,470428;24,729201703111176;80,51
24;22,38219;24,68893480711105;84,30
25;22,340882;24,63676643422225;89,28
26;22,340882;24,587200128222296;93,09
27;22,340882;24,530495409777817;97,60
28;22,340882;24,499174472444462;102,55
29;22,336852;24,455768134222186;106,92
30;22,336852;24,433997004444425;111,51
31;22,231714;24,376302482666745;115,68
32;22,231714;24,34626320222223;120,93
33;22,199218;24,284911940444392;125,17
34;21,623538;24,242725893777724;130,23
35;21,623538;24,24378275666662;134,78
36;21,623538;24,186780597777755;140,10
37;21,623538;24,15937734066674;144,49
38;21,623538;24,13052155288896;149,58
39;21,623538;24,094892163555606;154,69
40;21,623538;24,091361567111115;160,10
41;21,623538;24,05383612511114;165,20
42;21,623538;24,030543209111205;170,29
43;21,623538;24,020727566;176,21
44;21,623538;23,99774432511116;181,22
45;21,623538;23,949098960222223;186,77
46;21,623538;23,95153844266661;191,93
47;21,623538;23,93681201644443;197,67
48;21,575154;23,903747999777792;203,40
49;21,575154;23,861708984444505;208,22
50;21,575154;23,83476163955561;213,79
51;21,575154;23,812973274444477;219,21
52;21,542532;23,784881704444448;225,12
53;21,480106;23,78073396488892;230,60
54;21,480106;23,757674940666735;235,72
55;21,480106;23,73581427666666;241,80
56;21,450064;23,7197649771111;247,87
57;21,450064;23,705825672000007;253,29
58;21,450064;23,714736824222182;258,74
