Class;N;AverageBest;AverageTime
class1;n100;12.2988269;536.687
class1;n150;19.283101600000002;1727.825
class1;n50;7.3721224;74.37
class2;n100;8.0983444;484.837
class2;n150;11.9326729;1293.503
class2;n50;4.6932100000000005;58.785
class3;n100;6.3200886;435.525
class3;n150;9.7561702;1354.51
class3;n50;3.8822644;57.491
class4;n100;16.1857313;577.819
class4;n150;24.912345600000002;1907.819
class4;n50;8.6856521;72.85
