Generation;Best;Average;ElapsedSeconds
0;14,571;17,552413666666673;0,00
1;14,571;17,241803666666694;0,77
2;14,571;17,121340666666676;1,48
3;14,48;17,02285066666675;2,20
4;14,48;16,937433666666692;2,89
5;14,48;16,902753333333386;3,58
6;14,48;16,87714266666666;4,23
7;14,48;16,80609933333337;4,90
8;14,268;16,80538533333339;5,59
9;14,268;16,72299233333334;6,32
10;14,268;16,70701833333336;7,00
11;14,268;16,64482299999999;7,67
12;14,268;16,617744333333356;8,33
13;14,268;16,550724666666667;9,01
14;14,268;16,530088999999997;9,69
15;14,232;16,497422000000004;10,42
16;14,232;16,45336966666665;11,08
17;14,232;16,412100666666646;11,75
18;14,232;16,33468600000002;12,35
19;14,232;16,312490000000018;13,02
20;14,232;16,236008666666685;13,69
21;14,232;16,181254666666675;14,38
22;13,675;16,097847333333306;15,09
23;13,675;16,093491666666647;15,78
24;13,675;16,070074666666716;16,44
25;13,675;16,00932100000005;17,06
26;13,645;16,005883000000058;17,72
27;13,645;15,970445666666715;18,43
28;13,631;15,926003000000026;19,17
29;13,517;15,883318333333373;19,84
30;13,517;15,853783333333373;20,52
31;13,517;15,860610666666688;21,22
32;13,517;15,820067000000018;21,93
33;13,347;15,804837333333344;22,62
34;13,347;15,770257666666696;23,36
35;13,347;15,739446333333394;24,03
36;13,347;15,689293666666684;24,77
37;13,347;15,693337666666702;25,53
38;13,347;15,628498333333347;26,24
39;13,347;15,614855000000054;26,97
40;13,347;15,580893666666675;27,61
41;13,347;15,514170333333357;28,38
42;13,347;15,51007733333333;29,18
43;13,347;15,456177333333327;30,00
44;13,347;15,428751333333368;30,82
45;13,347;15,393849333333353;31,55
46;13,347;15,330981333333337;32,28
47;13,244;15,294333333333325;33,01
48;13,244;15,27217200000004;33,81
49;13,244;15,245574333333312;34,61
50;13,244;15,208789666666625;35,38
51;13,203;15,157515333333368;36,14
52;13,203;15,146775333333354;36,90
53;12,767;15,093060333333332;37,70
54;12,767;15,096161000000006;38,50
55;12,767;15,07373566666668;39,31
56;12,767;15,04101833333335;40,12
57;12,767;15,041936333333316;40,95
58;12,767;15,027984999999997;41,78
59;12,767;14,972064999999992;42,58
60;12,767;14,967804000000019;43,39
61;12,767;14,976615333333354;44,18
62;12,689;14,974757666666669;45,00
63;12,689;14,987648333333317;45,85
64;12,689;14,973286666666628;46,68
65;12,689;14,93532300000001;47,54
66;12,689;14,937492999999998;48,37
67;12,689;14,937172666666633;49,22
68;12,595;14,891876666666658;50,06
69;12,595;14,915161000000015;50,89
70;12,595;14,858447333333292;51,77
71;12,595;14,855176000000007;52,67
72;12,595;14,851244999999981;53,57
73;12,595;14,830618999999986;54,47
74;12,595;14,806402333333295;55,34
75;12,595;14,783899333333364;56,21
76;12,595;14,770828333333322;57,09
77;12,595;14,741705000000012;58,00
78;12,595;14,734408999999964;58,92
79;12,595;14,724126333333317;59,85
80;12,595;14,724536999999984;60,78
81;12,595;14,70735133333333;61,69
82;12,595;14,679859666666651;62,60
83;12,595;14,659912666666672;63,50
84;12,595;14,646944333333316;64,40
85;12,595;14,623862666666666;65,36
86;12,595;14,5800433333333;66,32
87;12,595;14,59669599999998;67,28
88;12,595;14,538639000000003;68,24
89;12,595;14,54797233333335;69,16
90;12,595;14,540833999999952;70,09
91;12,595;14,509669666666671;71,05
92;12,595;14,50491066666666;72,01
93;12,595;14,511010000000017;72,99
94;12,595;14,49381566666666;73,99
95;12,595;14,495828666666652;74,98
96;12,595;14,503657666666708;75,95
97;12,595;14,49328666666664;76,92
98;12,595;14,45098533333333;77,88
99;12,549;14,46087533333334;78,85
100;12,549;14,481106333333347;79,86
101;12,549;14,487639666666658;80,88
102;12,549;14,469568999999996;81,89
103;12,549;14,44912666666668;82,91
104;12,549;14,443001666666687;83,90
105;12,549;14,43450500000001;84,90
106;12,549;14,471122000000042;85,89
107;12,549;14,444803999999984;86,87
108;12,549;14,455160000000003;87,91
109;12,549;14,46894133333334;88,94
110;12,549;14,438368333333315;89,95
111;12,549;14,430354999999995;90,93
112;12,549;14,448751666666686;91,95
113;12,549;14,439289666666715;92,93
114;12,549;14,429251333333337;93,92
115;12,549;14,414488333333333;94,91
116;12,549;14,424904333333307;95,92
117;12,549;14,415365666666645;96,97
118;12,549;14,4072993333333;98,00
119;12,549;14,393405000000001;99,08
120;12,545;14,39064;100,15
121;12,38;14,360174333333305;101,14
122;12,38;14,379216333333371;102,15
123;12,38;14,348932666666663;103,17
124;12,38;14,34517500000001;104,20
125;12,38;14,352482666666651;105,26
126;12,38;14,339123666666678;106,29
127;12,38;14,344281999999968;107,36
128;12,38;14,309958333333345;108,43
129;12,38;14,331192000000058;109,47
130;12,38;14,326032000000055;110,48
131;12,38;14,345902666666657;111,50
132;12,38;14,33248799999998;112,54
133;12,38;14,331915666666706;113,60
134;12,38;14,331400666666669;114,66
135;12,38;14,291266999999998;115,71
136;12,38;14,286089000000015;116,71
137;12,38;14,301856666666701;117,72
138;12,38;14,302801000000022;118,71
139;12,38;14,310324333333389;119,72
140;12,38;14,31012666666669;120,76
141;12,38;14,286194333333379;121,81
142;12,38;14,255398000000007;122,89
143;12,38;14,256956000000018;123,95
144;12,38;14,275123333333351;124,98
145;12,38;14,29304000000002;126,00
146;12,38;14,278348000000005;127,02
147;12,38;14,252491000000031;128,03
148;12,38;14,262634000000013;129,12
149;12,38;14,256007000000013;130,18
150;12,38;14,242291666666654;131,24
151;12,38;14,241107666666677;132,28
152;12,38;14,238989333333318;133,31
153;12,38;14,242313666666684;134,31
154;12,38;14,247805666666636;135,33
155;12,38;14,252398333333343;136,34
156;12,317;14,215147666666686;137,38
157;12,317;14,229907333333353;138,44
158;12,317;14,23033533333337;139,49
159;12,317;14,232388333333336;140,53
160;12,317;14,228852333333343;141,56
161;12,317;14,229276333333353;142,58
162;12,317;14,21852266666669;143,57
163;12,317;14,214879666666715;144,57
164;12,317;14,22715166666667;145,59
165;12,317;14,201342333333312;146,63
166;12,317;14,197312333333313;147,66
167;12,317;14,190398333333343;148,71
168;12,317;14,196762;149,74
169;12,317;14,198605333333322;150,75
170;12,317;14,175331666666679;151,75
171;12,317;14,190875666666642;152,76
172;12,317;14,172494999999998;153,79
173;12,317;14,150148333333311;154,83
174;12,317;14,14819099999999;155,89
175;12,317;14,124500333333309;156,93
176;12,317;14,110407333333335;157,97
177;12,317;14,118629999999985;158,97
178;12,317;14,11894433333335;159,97
179;12,317;14,15497533333332;160,98
180;12,317;14,108527666666665;161,99
181;12,317;14,120694333333345;163,03
182;12,317;14,12317999999999;164,07
183;12,317;14,103490999999977;165,10
184;12,28;14,112191666666671;166,13
185;12,28;14,089069666666637;167,13
186;12,165;14,075449333333333;168,13
187;12,165;14,073837666666666;169,14
188;12,165;14,058120999999984;170,14
189;12,165;14,019872666666645;171,15
190;12,165;14,020184333333306;172,17
191;12,165;14,007725999999948;173,19
192;12,165;14,026259333333337;174,23
193;12,028;14,017024999999979;175,21
194;12,028;13,96776233333334;176,20
195;12,028;13,926033333333324;177,20
196;12,028;13,956530333333278;178,19
197;11,868;13,936626666666678;179,22
198;11,868;13,957581999999993;180,29
199;11,868;13,951899333333328;181,30
200;11,868;13,925926333333344;182,31
