Class;N;AverageBest;AverageTime
class1;n100;13.9686618;705.001
class1;n150;21.4065742;1790.761
class1;n50;8.1737436;83.308
class2;n100;9.388491499999999;521.968
class2;n150;13.4971903;1531.087
class2;n50;5.1615347;73.61699999999999
class3;n100;7.4550169;512.164
class3;n150;11.2820768;1536.848
class3;n50;4.3440606;79.068
class4;n100;18.1748995;725.259
class4;n150;28.6060906;2049.106
class4;n50;9.33358;84.082
