Class;N;AverageBest;AverageTime
class1;n100;12.5969755;1236.2259999999999
class1;n150;19.5585477;3531.649
class1;n50;7.3391277;205.596
class2;n100;8.2478384;1163.297
class2;n150;12.0587992;3046.134
class2;n50;4.6515714;167.559
class3;n100;6.5113459;1126.297
class3;n150;9.8641538;3066.707
class3;n50;3.8447246;181.973
class4;n100;16.4044792;1320.615
class4;n150;25.372233700000002;3635.147
class4;n50;8.6220918;197.7
