Class;N;AverageBest;AverageTime
class1;n100;12.3258651;525.482
class1;n150;19.1954779;1846.784
class1;n50;7.4048462;74.96
class2;n100;8.0872128;481.16700000000003
class2;n150;11.9740014;1398.542
class2;n50;4.6505354;58.616
class3;n100;6.3228622;424.872
class3;n150;9.7459924;1307.581
class3;n50;3.8833509;55.252
class4;n100;16.262370400000002;554.072
class4;n150;25.0356125;1863.942
class4;n50;8.7543469;61.164
