Class;N;AverageBest;AverageTime
class1;n100;13.9193291;670.554
class1;n150;21.4707338;1848.955
class1;n50;8.1286199;89.961
class2;n100;9.2741953;613.742
class2;n150;13.5741221;1662.387
class2;n50;5.1883799;91.525
class3;n100;7.4555653;546.326
class3;n150;11.3189776;1485.505
class3;n50;4.2876241;72.928
class4;n100;18.2579807;697.519
class4;n150;28.5883605;1975.914
class4;n50;9.40654;79.948
