Generation;Best;Average
0;11,530406;13,065207300000003
1;11,460585;12,833619309999992
2;11,283941;12,914785889999994
3;11,283941;12,719016100000001
4;11,283941;12,821790499999997
5;11,283941;12,790370409999996
6;11,22165;12,866041669999998
7;11,21087;12,64011352
8;11,21087;12,799787979999989
9;11,21087;12,742842669999998
10;11,21087;12,694656449999995
11;11,21087;12,777104529999992
12;11,21087;12,616784059999992
13;11,21087;12,717155639999993
14;11,21087;12,572387089999996
15;10,634627;12,65361429999999
16;10,634627;12,721518029999988
17;10,634627;12,730212929999992
18;10,634627;12,616938469999996
19;10,634627;12,559585789999998
20;10,634627;12,620049749999996
21;10,634627;12,45505232
22;10,634627;12,50152595999999
23;10,634627;12,448780999999995
24;10,634627;12,509020849999992
25;10,634627;12,525771659999991
26;10,634627;12,453667889999993
27;10,619247;12,371004989999992
28;10,619247;12,237824179999997
29;10,619247;12,330407059999994
30;10,619247;12,371343259999994
31;10,583096;12,31228684999999
32;10,583096;12,460144359999992
33;10,538614;12,260203059999995
34;10,528916;12,339727019999996
35;10,528916;12,459160109999992
36;10,528916;12,41618583999999
37;10,528916;12,447588139999999
38;10,528916;12,413645259999994
39;10,528916;12,334565329999993
40;10,528916;12,40691907999999
41;10,528916;12,370105969999992
42;10,528916;12,375786799999988
43;10,528916;12,410145279999997
44;10,528916;12,229707279999998
45;10,528916;12,348138269999993
46;10,528916;12,216132439999994
47;10,528916;12,258024399999995
48;10,528916;12,342140209999993
49;10,528916;12,302964210000004
50;10,528791;12,234235709999998
51;10,528791;12,120257629999992
52;10,528791;12,192309580000002
53;10,528791;11,957436559999996
54;10,528791;12,0789839
55;10,528791;12,098413699999995
56;10,528791;12,17712663
57;10,528791;12,028155529999998
58;10,528791;12,125254639999998
59;10,528791;12,078491969999993
60;10,528791;12,109307649999998
61;10,528791;11,962016870000003
62;10,528791;11,914551929999995
63;10,528791;11,995490189999998
64;10,469054;12,075883730000005
65;10,469054;12,095546039999999
66;10,469054;12,01837324
67;10,469054;11,907576019999995
68;10,469054;12,059842610000002
69;10,469054;11,993298099999995
70;10,469054;12,051233279999996
71;10,412977;12,044440429999995
72;10,412977;12,034912309999996
73;10,412977;11,993172000000005
74;10,412977;12,089432969999997
75;10,412977;11,937383089999992
76;10,412977;12,031493269999997
77;10,412977;12,093398659999993
78;10,412977;12,01335963
79;10,412977;12,015175
80;10,412977;12,063319859999995
81;10,412977;12,035339169999997
82;10,412977;12,073971029999997
83;10,412977;12,009559200000002
84;10,412977;12,163495100000002
85;10,412977;12,039562029999999
86;10,412977;12,085545479999997
87;10,412977;12,008432879999997
88;10,412977;11,99314596
89;10,412977;12,002635379999992
90;10,412977;12,09582856
91;10,412977;12,081058219999997
92;10,412977;11,995668169999995
93;10,412977;11,972293039999997
94;10,412977;11,985824399999997
95;10,412977;12,19181093
96;10,412977;12,041701390000004
97;10,412977;12,045818970000001
98;10,412977;11,997882159999994
99;10,412977;12,10412467
100;10,412977;12,10375952
