Class;N;AverageBest;AverageTime
class1;n100;13.8882159;664.975
class1;n150;21.4758731;1744.689
class1;n50;8.1124772;81.607
class2;n100;9.3457737;535.08
class2;n150;13.5885295;1586.32
class2;n50;5.150256000000001;75.543
class3;n100;7.451276;532.024
class3;n150;11.3012686;1668.676
class3;n50;4.3376901;78.732
class4;n100;18.2477954;743.346
class4;n150;28.5571254;2071.231
class4;n50;9.4320818;71.784
