Class;N;AverageBest;AverageTime
class1;n100;11.928001;493.834
class1;n150;18.7050639;1509.1
class1;n50;7.3090344;65.619
class2;n100;7.8759811;433.12
class2;n150;11.6499077;1409.797
class2;n50;4.6488015;58.842
class3;n100;6.1672412;451.917
class3;n150;9.4825395;1199.086
class3;n50;3.8559045;63.973
class4;n100;16.2117978;584.429
class4;n150;24.523974600000003;1738.443
class4;n50;8.5654889;68.155
