Class;N;AverageBest;AverageTime
class1;n100;11.9177804;499.353
class1;n150;18.7359856;1512.054
class1;n50;7.2876378;67.848
class2;n100;7.8842745;434.657
class2;n150;11.6966562;1471.915
class2;n50;4.6104497;60.043
class3;n100;6.17421;415.811
class3;n150;9.4962858;1176.187
class3;n50;3.8353187;59.988
class4;n100;16.0967793;557.3580000000001
class4;n150;24.4877917;1754.084
class4;n50;8.5668607;66.894
