Class;N;AverageBest;AverageTime
class1;n100;15.491534;396.21
class1;n150;23.9870259;1133.665
class1;n50;9.0230402;59.745
class2;n100;10.2811461;420.074
class2;n150;14.8807177;1134.196
class2;n50;5.8320575;64.632
class3;n100;8.1926942;470.095
class3;n150;12.2773595;1258.655
class3;n50;4.8135116;67.069
class4;n100;20.4685127;435.588
class4;n150;31.789489500000002;1147.339
class4;n50;10.4375249;54.164
