Generation;Best;Average
0;2,284914199647586;2,4853311458680256
1;2,284914199647586;2,4567174911702643
2;2,284914199647586;2,443302831341844
3;2,2598268107074797;2,4406805464254258
4;2,2598268107074797;2,4366279640620263
5;2,2574017219227094;2,4291719306081903
6;2,2574017219227094;2,4267849166368176
7;2,2574017219227094;2,4250284104618216
8;2,252827386985944;2,420152019312083
9;2,2421649060373645;2,41911544667784
10;2,2421649060373645;2,4200746138812415
11;2,234952452041601;2,4183945908921407
12;2,234952452041601;2,414669180158027
13;2,234952452041601;2,4087547227249777
14;2,234952452041601;2,4055479402309943
15;2,234952452041601;2,4101448059718518
16;2,234952452041601;2,406276600147601
17;2,234952452041601;2,404974573623728
18;2,234952452041601;2,399182181319224
19;2,234952452041601;2,396414941542406
20;2,234952452041601;2,396136038828887
21;2,234952452041601;2,3944034794501583
22;2,234952452041601;2,3936398381457367
23;2,234952452041601;2,3939368082193586
24;2,234952452041601;2,391987165009061
25;2,230428965204612;2,392521212409238
26;2,230428965204612;2,38756837762214
27;2,230428965204612;2,386878140368672
28;2,230428965204612;2,3887697185939873
29;2,224023101654325;2,387693442567018
30;2,224023101654325;2,3883298967107836
31;2,224023101654325;2,3887105263099593
32;2,224023101654325;2,384223004034838
33;2,224023101654325;2,384234985796869
34;2,224023101654325;2,3812493672790347
35;2,224023101654325;2,3872753711523504
36;2,224023101654325;2,380155493267548
37;2,224023101654325;2,377026215574228
38;2,2222992513697415;2,380049156597307
39;2,2222992513697415;2,380449006667416
40;2,214976127980347;2,3734716214428695
41;2,214976127980347;2,3774009867854717
42;2,214976127980347;2,3799268655879713
43;2,212877729928128;2,376816746439468
44;2,212877729928128;2,3765841464044204
45;2,2059321453710616;2,3733236027352005
46;2,2059321453710616;2,3755277820058804
47;2,2059321453710616;2,37310680083918
48;2,2059321453710616;2,3739561097813784
49;2,2059321453710616;2,373794931829202
50;2,2059321453710616;2,3717127021433524
51;2,2059321453710616;2,3735637901043574
52;2,2059321453710616;2,3766339826380802
53;2,2059321453710616;2,369457472266736
54;2,2059321453710616;2,3737753543137665
55;2,2059321453710616;2,371441553266537
56;2,2059321453710616;2,375083809965026
57;2,2059321453710616;2,369785485603779
58;2,2059321453710616;2,372341667768923
59;2,2059321453710616;2,367203762294107
60;2,2059321453710616;2,3713853786344554
61;2,2059321453710616;2,3697319501985477
62;2,2059321453710616;2,371087525864401
63;2,2059321453710616;2,3692477981886557
64;2,2059321453710616;2,3693135987316114
65;2,2059321453710616;2,3737831904601387
66;2,2059321453710616;2,36912001890795
67;2,2059321453710616;2,370467752002178
68;2,204694176928788;2,371009378871076
69;2,204694176928788;2,3692336286289626
70;2,204694176928788;2,3709771546909955
71;2,204694176928788;2,36400264299338
72;2,198018452875111;2,368162602252869
73;2,198018452875111;2,367297293219386
74;2,198018452875111;2,3660832128598894
75;2,198018452875111;2,366120859951044
76;2,198018452875111;2,368178246629016
77;2,198018452875111;2,3663883455490633
78;2,198018452875111;2,363991748871091
79;2,198018452875111;2,3659455064570447
80;2,198018452875111;2,3662795442415043
81;2,198018452875111;2,3666174617692084
82;2,198018452875111;2,365304201914149
83;2,198018452875111;2,3670647696226594
84;2,198018452875111;2,3651513323642295
85;2,198018452875111;2,3640034165713435
86;2,198018452875111;2,3673595770457285
87;2,198018452875111;2,364790951276004
88;2,198018452875111;2,3662703468283497
89;2,198018452875111;2,361675349949035
90;2,198018452875111;2,363142664369535
91;2,198018452875111;2,361494673578464
92;2,198018452875111;2,3596285131993477
93;2,198018452875111;2,363509569191412
94;2,198018452875111;2,3624561419076313
95;2,198018452875111;2,3627502618289427
96;2,198018452875111;2,365541722139839
97;2,198018452875111;2,3642439782667095
98;2,198018452875111;2,362732684781884
99;2,198018452875111;2,364883204573533
100;2,198018452875111;2,362771442333496
101;2,198018452875111;2,360443406175734
102;2,198018452875111;2,3646335312088813
103;2,198018452875111;2,3619360597885026
104;2,198018452875111;2,3638997220082327
105;2,198018452875111;2,3614602654780406
106;2,198018452875111;2,36101098374345
107;2,198018452875111;2,3611840603725356
108;2,198018452875111;2,360497937051597
109;2,198018452875111;2,3586610348241908
110;2,198018452875111;2,357137836791119
111;2,198018452875111;2,359091042691796
112;2,198018452875111;2,3597404935655564
113;2,198018452875111;2,3585820690545987
114;2,198018452875111;2,3592432436833644
115;2,198018452875111;2,3583514919763098
116;2,1916634374246002;2,359530218505028
117;2,1916634374246002;2,358175719733248
118;2,1916634374246002;2,3602529461433375
119;2,1916634374246002;2,36148793781155
120;2,1916634374246002;2,3605912868512995
121;2,1916634374246002;2,3574655572253884
122;2,1916634374246002;2,3592493298353445
123;2,1916634374246002;2,359224580658268
124;2,1916634374246002;2,3591173040182367
125;2,1916634374246002;2,360937121505684
126;2,1916634374246002;2,3584765058515194
127;2,1916634374246002;2,361714472853648
128;2,1889176400366637;2,361345473954138
129;2,186819241984445;2,35781626753678
130;2,186819241984445;2,3593569306181545
131;2,186819241984445;2,3557280820872215
132;2,186819241984445;2,3607269067095698
133;2,186819241984445;2,3597094043283535
134;2,186819241984445;2,3558422881379006
135;2,186819241984445;2,3607989774103695
136;2,186819241984445;2,3595691692572602
137;2,186819241984445;2,359127346905674
138;2,186819241984445;2,357718020034817
139;2,186819241984445;2,358405883158379
140;2,186819241984445;2,3550041349807675
141;2,186819241984445;2,357182911028236
142;2,186819241984445;2,3581191238041543
143;2,186819241984445;2,357121343949616
144;2,186819241984445;2,3567229381206327
145;2,186819241984445;2,358183248464641
146;2,186819241984445;2,3577914708350116
147;2,186819241984445;2,3586880650758153
148;2,186819241984445;2,355691037640221
149;2,186819241984445;2,3552401141434647
150;2,186819241984445;2,3593624316292505
151;2,186819241984445;2,3545199539464683
152;2,186819241984445;2,355456896652954
153;2,186819241984445;2,3541430167612707
154;2,186819241984445;2,355451908775631
155;2,186819241984445;2,356778516312271
156;2,186819241984445;2,360523403197958
157;2,185635112706641;2,356302282426077
158;2,185635112706641;2,355232037271767
159;2,185635112706641;2,3586815422284086
160;2,185635112706641;2,3544262335870854
161;2,185635112706641;2,355122140348291
162;2,185635112706641;2,3533085076071636
163;2,185635112706641;2,3557031233140644
164;2,185635112706641;2,3574529445702583
165;2,185635112706641;2,3546160126537563
166;2,185635112706641;2,3553680900589633
167;2,185635112706641;2,357536823772892
168;2,185635112706641;2,3551981041967256
