Class;N;AverageBest;AverageTime
class1;n100;12.0124006;463.942
class1;n150;19.0654029;1427.796
class1;n50;7.2732646;50.787
class2;n100;8.0149237;394.271
class2;n150;11.8515621;1143.747
class2;n50;4.605364;48.357
class3;n100;6.2152996;355.288
class3;n150;9.6365739;1085.547
class3;n50;3.8512028;50.146
class4;n100;16.1784282;552.373
class4;n150;24.7582582;1621.552
class4;n50;8.5694813;56.256
