Class;N;AverageBest;AverageTime
class1;n100;12.9601954;541.529
class1;n150;20.2243208;1505.3400000000001
class1;n50;7.4291165;67.412
class2;n100;8.5882908;439.341
class2;n150;12.5197589;1293.453
class2;n50;4.7379985;59.44
class3;n100;6.7435348;449.472
class3;n150;10.2479665;1373.981
class3;n50;3.8433491;63.928
class4;n100;16.8731838;616.753
class4;n150;26.3453677;1697.505
class4;n50;8.7120472;68.394
