Class;N;AverageBest;AverageTime
class1;n100;12.5838451;431.627
class1;n150;19.4769956;1366.542
class1;n50;7.4625651;51.605000000000004
class2;n100;8.3881171;390.176
class2;n150;12.1185238;1219.309
class2;n50;4.858909;56.808
class3;n100;6.7092873;378.539
class3;n150;9.9550897;1190.8319999999999
class3;n50;4.0445595999999995;57.641999999999996
class4;n100;16.667231400000002;408.248
class4;n150;25.7395024;1132.876
class4;n50;8.756288999999999;38.997
