Class;N;AverageBest;AverageTime
class1;n100;14.0689312;681.608
class1;n150;21.7394141;1916.442
class1;n50;8.1523137;86.31
class2;n100;9.4563546;557.276
class2;n150;13.7921486;1558.4660000000001
class2;n50;5.1860329;68.457
class3;n100;7.5058969;530.998
class3;n150;11.416130599999999;1372.709
class3;n50;4.4295231;74.071
class4;n100;18.419149;715.403
class4;n150;28.5831902;2060.958
class4;n50;9.3685327;68.828
