Generation;Best;Average
1;6,135557;6,230882057
2;6,115146;6,213176539
3;6,105721;6,201989408
4;6,099475;6,191767919
5;6,065249;6,176727029
6;6,065249;6,167881272
7;6,065249;6,15662379
8;6,063795;6,142196225
9;6,058145;6,130188518
10;6,052927;6,126592495
11;6,046627;6,122741827
12;6,041723;6,120231034
13;6,032909;6,116470394
14;6,032909;6,112896122
15;6,032909;6,109437711
16;6,032909;6,107534179
17;6,032909;6,11122728
18;6,032909;6,107085035
19;6,032909;6,109186294
20;6,026609;6,106478098
21;6,026609;6,103211251
22;6,026609;6,107675899
23;6,026609;6,108499913
24;6,02655;6,110501062
25;6,02655;6,109723201
26;6,02655;6,108552589
27;6,02025;6,106872423
28;6,017717;6,105614218
29;6,017717;6,105687535
30;6,017717;6,104619759
31;6,017717;6,105255273
32;6,017717;6,102679059
33;6,007917;6,100998984
34;6,007917;6,102767345
35;6,007917;6,1054043
36;6,007917;6,105380679
37;6,007917;6,099497304
38;6,007917;6,098562494
39;6,007917;6,096659166
40;6,007917;6,100663806
41;6,007917;6,096960457
42;6,007917;6,099447841
43;6,007917;6,09731258
44;6,007917;6,094966027
45;6,007917;6,099713238
46;6,007917;6,100442888
47;6,007917;6,098225334
48;6,007917;6,101948233
49;6,007917;6,096215924
50;6,007917;6,100074424
51;6,007917;6,101231787
52;6,007917;6,092859355
53;6,007917;6,095803499
54;6,007917;6,099927072
55;6,007917;6,099582722
56;6,007917;6,097917968
57;6,007917;6,098475842
58;6,007917;6,099375759
59;6,007917;6,098328236
60;6,007917;6,097334461
61;6,007917;6,099680852
62;6,007917;6,094823153
63;6,007917;6,101058891
64;6,007917;6,096637728
65;6,007917;6,099240537
66;6,007917;6,09459255
67;6,007917;6,099221001
68;6,007917;6,098675858
69;6,007917;6,096322207
70;6,007917;6,101077289
71;6,007917;6,10080357
72;6,007917;6,097360444
73;6,007917;6,096442432
74;6,007917;6,097704638
75;6,007917;6,096560264
76;6,007917;6,09453393
77;6,007917;6,100544444
78;6,007917;6,09805954
79;6,007917;6,100242206
80;6,007917;6,101015103
81;6,007917;6,097518649
82;6,007917;6,093733494
83;6,007917;6,098985455
84;6,007917;6,095913205
85;6,007917;6,095228833
86;6,007917;6,0962245
87;6,007917;6,098338238
88;6,007917;6,099495554
89;6,007917;6,101417647
90;6,007917;6,09989401
91;6,007917;6,098140576
92;6,007917;6,099325588
93;6,007917;6,097199009
94;6,007917;6,100240499
95;6,007917;6,096139925
96;6,007917;6,095331382
97;6,007917;6,097208411
98;6,007917;6,097491073
99;6,007917;6,095416556
100;6,007917;6,099499559
